"","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State","School"
"35",105,20,20,15,9033,355,270,129,9138,375,290,144,77.3,100,76.06,3.17,3.93,"Private",90,517,3.83,144,89.58,"Yes",19.047619047619,2.98904018598472,6.37248677248677,"RI","Brown University"
"36",537,279,184,157,4076,206,100,29,4613,485,284,186,58.6,65.95,48.54,6.16,5.05,"Public",16,510,3.86,202,14.36,"No",34.2644320297952,2.45338567222767,13.9661824953445,"AL","University of Alabama"
"38",2430,317,182,112,2215,78,52,23,4645,395,234,135,59.2,57.41,66.67,5.04,3.52,"Public",17,515,3.9,135,17.04,"No",7.48971193415638,2.34762979683973,3.190329218107,"FL","University of Florida"
"42",1645,354,141,92,6432,584,216,91,8077,938,357,183,38.1,39.83,36.99,4.42,9.08,"Private",50,515,3.81,183,49.73,"Yes",8.57142857142857,3.35820895522388,2.55238095238095,"NY","Albert Einstein"
"43",682,466,346,291,5306,570,238,74,5988,1036,584,365,56.4,74.25,41.75,9.75,10.74,"Public",20,512,3.84,360,20.56,"Yes",50.733137829912,4.48548812664908,11.3105054338451,"IN","Indiana University"
"44",4521,484,205,94,1637,74,30,10,6158,558,235,104,42.1,42.36,40.54,3.82,4.52,"Public",10,516,3.85,104,9.62,"No",4.53439504534395,1.83262064752596,2.47426822974268,"CA","UC Irvine"
"45",333,242,125,104,3691,481,159,48,4024,723,284,152,39.3,51.65,33.06,7.06,13.03,"Public",32,515,3.86,152,31.58,"Yes",37.5375375375375,4.30777567054999,8.71390258182711,"IA","University of Iowa"
"46",979,449,212,112,3505,385,179,50,4484,834,391,162,46.9,47.22,46.49,8.72,10.98,"Public",31,516,3.82,162,30.86,"Yes",21.6547497446374,5.10699001426534,4.24021775726,"MA","UMass"
"47",2105,262,178,100,6674,348,182,104,8779,610,360,204,59,67.94,52.3,4.1,5.21,"Private",51,514,3.78,204,50.98,"Yes",8.45605700712589,2.72700029967036,3.10086398162408,"FL","University of Miami"
"48",76,19,11,5,8283,655,246,87,8359,674,257,92,38.1,57.89,37.56,3.07,7.91,"Private",95,516,3.77,92,94.57,"Yes",14.4736842105263,2.96993842810576,4.87339537869063,"NH","Dartmouth (Geisel)"
"49",822,95,76,41,8427,381,212,104,9249,476,288,145,60.5,80,55.64,3.11,4.52,"Private",72,513,3.76,145,71.72,"Yes",9.24574209245742,2.51572327044025,3.67518248175182,"NC","Wake Forest"
"50",4800,498,239,123,2228,20,8,4,7028,518,247,127,47.7,47.99,40,3.51,0.9,"Public",3,512,3.69,119,3.36,"No",4.97916666666667,0.359066427289048,13.8669791666667,"CA","UC Davis"
"52",70,13,6,6,14394,1016,384,197,14464,1029,390,203,37.9,46.15,37.8,2.7,7.06,"Private",97,513,3.79,200,98.5,"Yes",8.57142857142857,2.66777824093372,3.21294642857143,"DC","Georgetown University"
"53",945,167,104,54,11069,654,398,146,12014,821,502,200,61.1,62.28,60.86,4.18,5.91,"Private",73,515,3.78,200,73,"Yes",11.005291005291,3.59562742795194,3.06074286777804,"MA","Tufts University"
"56",4247,861,377,229,1123,41,22,11,5370,902,399,240,44.2,43.79,53.66,7.43,3.65,"Public",5,513,3.88,240,4.58,"No",8.87685425005886,1.95903829029386,4.53123060128005,"TX","McGovern (Houston)"
"57",0,0,0,0,11772,1149,329,178,11772,1149,329,178,28.6,45.6944,28.63,2.79,9.89669999999999,"Private",100,513,3.78,180,98.89,"Yes",11.7529424353,2.79476724430853,4.78623515444236,"DC","George Washington"
"58",2011,415,248,87,3156,342,161,49,5167,757,409,136,54,59.76,47.08,7.92,10.84,"Public",36,516,3.86,136,36.03,"Yes",12.3321730482347,5.10139416983523,2.41741230684651,"NY","Stony Brook University"
"59",1102,173,110,93,8814,500,304,179,9916,673,414,272,61.5,63.58,60.8,4.18,5.67,"Private",66,514,3.8,270,66.3,"Yes",9.98185117967332,3.44905831631495,2.89408014136976,"PA","Jefferson (Kimmel)"
"61",308,288,128,113,1347,184,48,18,1655,472,176,131,37.3,44.44,26.09,10.63,13.66,"Public",14,513,3.9,126,14.29,"No",41.5584415584416,3.56347438752784,11.6623376623377,"NE","University of Nebraska"
"62",768,278,136,89,8795,200,80,28,9563,478,216,117,45.2,48.92,40,2.26,2.27,"Public",24,510,3.79,120,23.33,"No",17.7083333333333,0.909607731665719,19.4680989583333,"AZ","University of Arizona"
"63",4149,585,354,157,1009,82,31,18,5158,667,385,175,57.7,60.51,37.8,7.46,8.13,"Public",10,513,3.84,126,14.29,"No",8.53217642805495,3.07234886025768,2.77708581158305,"TX","Texas A&M"
"65",76,67,46,30,5524,563,267,94,5600,630,313,124,49.7,68.66,47.42,5.59,10.19,"Public",76,512,3.7,119,78.99,"Yes",60.5263157894737,4.83345401882694,12.5223733491031,"VT","University of Vermont"
"67",1257,310,142,54,2848,530,198,45,4105,840,340,99,40.5,45.81,37.36,8.28,18.61,"Private",45,518,3.84,99,45.45,"Yes",11.296738265712,6.95224719101124,1.62490457478524,"NY","Hofstra"
"68",900,127,73,53,6586,382,235,102,7486,509,308,155,60.5,57.48,61.52,4.11,5.8,"Private",66,511,3.67,144,70.83,"Yes",8.11111111111111,3.56817491648952,2.27318203309693,"IL","Rush University"
"71",978,349,157,101,7390,620,290,117,8368,969,447,218,46.1,44.99,46.77,5.34,8.39,"Private",54,513,3.77,200,58.5,"Yes",16.0531697341513,3.92422192151556,4.09079049432339,"PA","Temple University"
"72",710,455,210,154,1356,72,39,16,2066,527,249,170,47.2,46.15,54.17,12.05,5.31,"Public",9,513,3.82,170,9.41,"No",29.5774647887324,2.87610619469027,10.2838569880823,"TN","University of Tennessee"
"74",515,379,212,186,2542,165,50,25,3057,544,262,211,48.2,55.94,30.3,8.57,6.49,"Public",12,511,3.88,211,11.85,"No",41.1650485436893,1.9669551534225,20.9283106796117,"KS","University of Kansas"
"75",1969,475,277,159,2392,131,67,23,4361,606,344,182,56.8,58.32,51.15,7.89,5.48,"Public",13,512,3.75,184,12.5,"No",14.0680548501778,2.80100334448161,5.02250555248137,"NY","Buffalo (Jacobs)"
"76",338,324,190,160,690,84,18,8,1028,408,208,168,51,58.64,21.43,20.23,12.17,"Public",5,508,3.77,168,4.76,"No",56.2130177514793,2.60869565217391,21.5483234714004,"AR","University of Arkansas"
"77",434,284,174,153,2365,45,32,11,2799,329,206,164,62.6,61.27,71.11,7.36,1.9,"Public",7,511,3.85,165,6.67,"No",40.0921658986175,1.35306553911205,29.630616359447,"OK","University of Oklahoma"
"78",1273,537,360,236,1495,47,14,4,2768,584,374,240,64,67.04,29.79,13.51,3.14,"Public",2,513,3.82,230,1.74,"No",28.2796543597801,0.936454849498328,30.1986309056223,"GA","Augusta University (MCG)"
"80",300,185,72,67,1876,121,29,10,2176,306,101,77,33,38.92,23.97,4.64,6.45,"Public",13,513,3.84,72,13.89,"No",24,1.54584221748401,15.5255172413793,"HI","University of Hawaii"
