"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"24","UTSW",4137,676,349,192,1319,147,74,36,5456,823,423,228,51.4,51.63,50.34,7.75,11.14,"Public",16,518,3.9,228,15.79,"No",8.43606478124244,5.61031084154663,1.50367154681875,"TX"
"25","Case Western Reserve",761,122,64,34,7365,926,477,181,8126,1048,541,215,51.6,52.46,51.51,6.66,12.57,"Private",84,519,3.86,215,84.19,"Yes",8.40998685939553,6.4765784114053,1.29852312829032,"OH"
"26","Colorado",679,136,85,66,9756,570,241,89,10435,706,326,155,46.2,62.5,42.28,3.12,5.84,"Public",57,515,3.83,155,57.42,"Yes",12.5184094256259,2.47027470274703,5.06761835503761,"CO"
"27","UNC",1062,504,205,159,5220,125,52,34,6282,629,257,193,40.9,40.67,41.6,4.09,2.39,"Public",18,515,3.78,193,17.62,NA,19.3032015065913,0.996168582375479,19.377444589309,"NC"
"28","Ohio State University",1232,270,165,109,5877,303,214,96,7109,573,379,205,66.1,61.11,70.63,5.33,5.16,"Public",47,517,3.92,205,46.83,"Yes",13.3928571428571,3.64131359537179,3.67802903871829,"OH"
"29","USC (Keck)",3908,546,276,150,4477,196,103,36,8385,742,379,186,51.1,50.55,52.55,4.52,4.38,"Private",19,517,3.76,186,19.35,"Yes",7.06243602865916,2.30064775519321,3.06975981556379,"CA"
"30","Oregon University",634,361,160,116,5921,205,81,34,6555,566,241,150,42.6,44.32,39.51,3.68,3.46,"Public",23,512,3.77,160,21.25,NA,25.2365930599369,1.36801216010809,18.4476379639366,"OR"
"31","University of Virginia",641,133,116,73,3192,451,353,82,3833,584,469,155,80.3,87.22,78.27,12.24,14.13,"Public",53,520,3.93,156,52.56,"Yes",18.0967238689548,11.0588972431078,1.63639497421257,"VA"
"32","Boston University",729,159,78,33,7355,846,393,119,8084,1005,471,152,46.9,49.06,46.45,5.83,11.5,"Private",78,518,3.86,152,78.29,"Yes",10.6995884773663,5.34330387491502,2.00242934480989,"MA"
"33","University of Maryland",908,266,180,109,3976,275,105,43,4884,541,285,152,52.7,67.67,38.18,5.84,6.92,"Public",28,514,3.83,152,28.29,"Yes",19.8237885462555,2.64084507042254,7.50660792951542,"MD"
"34","University of Rochester",1208,144,82,33,3950,463,218,69,5158,607,300,102,49.4,56.94,47.08,5.82,11.72,"Private",68,518,3.84,102,67.65,"Yes",6.78807947019868,5.51898734177215,1.22995017923325,"NY"
"35","Brown University",105,20,20,15,9033,355,270,129,9138,375,290,144,77.3,100,76.06,3.17,3.93,"Private",90,517,3.83,144,89.58,"Yes",19.047619047619,2.98904018598472,6.37248677248677,"RI"
