"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"MUSC"," "," ","512","308","188","146","873","56","26","11","1385","364","214","157","58.8","61.04","46.43","15.45%","229","96%","243","96%","6.41","Public - SC","7%","510","3.83"," "," ","171","6.43%"," "," "," "," "," "
"North Dakota (unranked 2021)"," "," ","141","118","46","43","370","138","59","35","511","256","105","78","41.0","38.98","42.75","20.55%","226","71%","240","57%","37.30","Public - ND","45%","507","3.8"," "," ","77","45.45%","No unless nearby"," "," "," "," "
"South Dakota (unranked 2021)"," "," ","157","137","66","61","667","83","19","6","824","220","85","67","38.6","48.18","22.89","10.32%","229","98%"," "," ","12.44","Public - SD","9%","508","3.87"," "," ","67","8.96%"," "," "," "," "," "
"Texas Tech El Paso (unranked 2021)"," "," ","3331","521","215","97","671","25","12","3","4002","546","227","100","41.6","41.27","48.00","5.67%","223","96%"," "," ","3.73","Public - TX","3%","512","3.89"," "," ","100","3.00%"," "," "," "," "," "
"UTMB (unranked 2020)"," "," ","3922","1053","494","223","981","45","26","7","4903","1098","520","230","47.4","46.91","57.78","10.61%","236","100%"," "," ","4.59","Public - TX","3%","511","3.88"," "," ","230","3.04%"," "," "," "," "," "
"Midwestern University Chicago"," ","17","624","256","191","102","4475","482","405","113","5099","738","596","215","80.8","74.61","84.02","11.69%","233","97%","241","97%","10.77","Private - IL","53%","507","3.65"," "," ","215","52.56%"," "," "," "," "," "
"LECOM"," ","80","2535","668","505","293","15762","2280","832","413","18297","2948","1337","706","45.4","75.60","36.49","7.31%"," "," "," "," ","14.47","Private - PA","58%","503","3.68"," "," ","706","58.50%"," "," "," "," "," "
"VCOM"," "," ","1180","441","376","269","7077","981","847","396","8257","1422","1223","665","86.0","85.26","86.34","14.81%"," "," "," "," ","13.86","Private - VA","60%","501","3.65"," "," ","665","59.55%"," "," "," "," "," "
"Midwestern Arizona"," "," ","369","172","144","92","3994","642","517","160","4363","814","661","252","81.2","83.72","80.53","15.15%","227","96%","239","99%","16.07","Private - AZ","63%","507","3.54"," "," ","252","63.49%"," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","513.4083333","3.812666667"," "," "," "," "," "," "," "," "," "
"Western Michigan"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","516","3.79"," "," "," "," "," "," "," "," "," "
"Kaiser"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","516","3.87"," "," "," "," "," "," "," "," "," "
"Arizona-Phoenix"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","515","3.84"," "," "," "," "," "," "," "," "," "
"UT Austin Dell"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","515","3.92"," "," "," "," "," "," "," "," "," "
"NYU LI"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","515","3.81"," "," "," "," "," "," "," "," "," "
"SUNY Downstate"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","514","3.74"," "," "," "," "," "," "," "," "," "
"RFU Chicago Medical School"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","513","3.74"," "," "," "," "," "," "," "," "," "
"Creighton"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","513","3.84"," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","686"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
