"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"U Maryland","27","16","908","266","180","109","3976","275","105","43","4884","541","285","152","52.7","67.67","38.18","5.84%","232","98%","244","99%","6.92","Public - MD","28%","514","3.83"," "," ","152","28.29%","Yes"," "," "," "," "
"Oregon","29","4","634","361","160","116","5921","205","81","34","6555","566","241","150","42.6","44.32","39.51","3.68%","226","96%","242","100%","3.46","Public - OR","23%","512","3.77"," "," ","160","21.25%"," "," "," "," "," "
"USC - Keck","29","46","3908","546","276","150","4477","196","103","36","8385","742","379","186","51.1","50.55","52.55","4.52%","236","99%","245","99%","4.38","Private - CA","19%","517","3.76"," "," ","186","19.35%"," "," "," "," "," "
"University of Virginia","31","19","641","133","116","73","3192","451","353","82","3833","584","469","155","80.3","87.22","78.27","12.24%","238","99%","256","99%","14.13","Public - VA","53%","520","3.93"," "," ","156","52.56%","Yes"," "," "," "," "
"Alabama - Birmingham","32","21","537","279","184","157","4076","206","100","29","4613","485","284","186","58.6","65.95","48.54","6.16%","233","98%","243","99%","5.05","Public - AL","16%","510","3.86"," "," ","202","14.36%"," "," "," "," "," "
"Boston University","33","44","729","159","78","33","7355","846","393","119","8084","1005","471","152","46.9","49.06","46.45","5.83%","238","99%","250","99%","11.50","Private-MA","78%","518","3.86"," "," ","152","78.29%"," "," "," "," "," "
"Ohio State","33","28","1232","270","165","109","5877","303","214","96","7109","573","379","205","66.1","61.11","70.63","5.33%","232","97%","253","100%","5.16","Public - OH","47%","517","3.92"," "," ","205","46.83%","YES"," "," "," "," "
"Wisconsin","33","12","712","351","162","131","4367","211","132","40","5079","562","294","171","52.3","46.15","62.56","5.79%","238","100%","248","99%","4.83","Public - WI","23%","513","3.8"," "," ","171","23.39%"," "," "," "," "," "
"Brown - Alpert","36","19","105","20","20","15","9033","355","270","129","9138","375","290","144","77.3","100.00","76.06","3.17%","234","100%","250","98%","3.93","Private-RI","90%","517","3.83"," "," ","144","89.58%"," "," "," "," "," "
"University of Florida","36","51","2430","317","182","112","2215","78","52","23","4645","395","234","135","59.2","57.41","66.67","5.04%","234","97%","251","100%","3.52","Public - FL","17%","515","3.9"," "," ","135","17.04%"," "," "," "," "," "
"Rochester","36","14","1208","144","82","33","3950","463","218","69","5158","607","300","102","49.4","56.94","47.08","5.82%","232","99%","246","100%","11.72","Private-NY","68%","518","3.84"," "," ","102","67.65%"," "," "," "," "," "
"Albert Einstein","39","69","1645","354","141","92","6432","584","216","91","8077","938","357","183","38.1","39.83","36.99","4.42%","237","99%","247","99%","9.08","Private - NY","50%","515","3.81"," "," ","183","49.73%"," "," "," "," "," "
"Iowa","39","22","333","242","125","104","3691","481","159","48","4024","723","284","152","39.3","51.65","33.06","7.06%","235","99%","243","99%","13.03","Public - IA","32%","515","3.86"," "," ","152","31.58%","YES"," "," "," "," "
"Utah","41","32","567","365","122","89","2840","224","71","36","3407","589","193","125","32.8","33.42","31.70","5.66%","239","100%","247","97%","7.89","Public - UT","29%","513","3.82"," "," ","125","28.80%","if u mormon"," "," "," "," "
"Cincinnati","42","59","1171","251","157","85","3944","370","233","97","5115","621","390","182","62.8","62.55","62.97","7.62%","240","99%","250","99%","9.38","Public - OH","53%","517","3.84"," "," ","182","53.30%","YES"," "," "," "," "
"Indiana","42","36","682","466","346","291","5306","570","238","74","5988","1036","584","365","56.4","74.25","41.75","9.75%","232","99%","241","98%","10.74","Public - IN","20%","512","3.84"," "," ","360","20.56%","YES"," "," "," "," "
"Minnesota","42","5","1397","484","231","192","4856","444","121","49","6253","928","352","241","37.9","47.73","27.25","5.63%","229","96%","243","98%","9.14","Public - MN","20%","513","3.81"," "," ","240","20.42%","Maybe if ties"," "," "," "," "
"Dartmouth (Geisel)","45","24","76","19","11","5","8283","655","246","87","8359","674","257","92","38.1","57.89","37.56","3.07%","237","100%","245","98%","7.91","Private-NH","95%","516","3.77"," "," ","92","94.57%"," "," "," "," "," "
"Massachusetts","45","10","979","449","212","112","3505","385","179","50","4484","834","391","162","46.9","47.22","46.49","8.72%","233","100%","247","98%","10.98","Public - MA","31%","516","3.82"," "," ","162","30.86%","YES"," "," "," "," "
"Miami","45"," ","2105","262","178","100","6674","348","182","104","8779","610","360","204","59.0","67.94","52.30","4.10%","235","98%","246","98%","5.21","Private-FL","51%","514","3.78"," "," ","204","50.98%"," "," "," "," "," "
"UC Davis","48","11","4800","498","239","123","2228","20","8","4","7028","518","247","127","47.7","47.99","40.00","3.51%","223","95%","238","98%","0.90","Public - CA","3%","512","3.69"," "," ","119","3.36%","NO NO NO"," "," "," "," "
"UC Irvine","48","41","4521","484","205","94","1637","74","30","10","6158","558","235","104","42.1","42.36","40.54","3.82%","238","99%","246","100%","4.52","Public - CA","10%","516","3.85"," "," ","104","9.62%"," "," "," "," "," "
"Wake Forest","48","80","822","95","76","41","8427","381","212","104","9249","476","288","145","60.5","80.00","55.64","3.11%","234","99%","252","100%","4.52","Private - NC","72%","513","3.76"," "," ","145","71.72%"," "," "," "," "," "
"USF Health Morsani College of Medicine","48","69","2297","453","240","119","3038","233","156","93","5335","686","396","212","57.7","52.98","66.95","7.42%","237","99%","245","96%","7.67","Public - FL","44%","516","3.8"," "," "," "," "," "," "," "," "," "
"UT San Antonio","52","46","4233","908","340","185","1086","153","53","27","5319","1061","393","212","37.0","37.44","34.64","7.39%","232","98%","246","99%","14.09","Public - TX","13%","517","3.88"," "," ","212","12.74%","IF TIES"," "," "," "," "
"McGovern Medical School at UT Houston","53","84","4247","861","377","229","1123","41","22","11","5370","902","399","240","44.2","43.79","53.66","7.43%","236","99%","245","97%","3.65","Public - TX","5%","513","3.88"," "," ","240","4.58%"," "," "," "," "," "
"Nebraska","54","6","308","288","128","113","1347","184","48","18","1655","472","176","131","37.3","44.44","26.09","10.63%","227","93%","248","99%","13.66","Public - NE","14%","513","3.9"," "," ","126","14.29%","yes maybe?"," "," "," "," "
"Georgetown","55","89","70","13","6","6","14394","1016","384","197","14464","1029","390","203","37.9","46.15","37.80","2.70%","232","99%","246","98%","7.06","Private - DC","97%","513","3.79"," "," ","200","98.50%"," "," "," "," "," "
"Illinois","55","67","1707","468","351","236","3308","218","190","64","5015","686","541","300","78.9","75.00","87.16","10.79%","229","93%","246","98%","6.59","Public - IL","21%","513","3.76"," "," ","310","20.65%","nah check out their OOS tuition"," "," "," "," "
"Jefferson (Sidney Kimmel)","55","59","1102","173","110","93","8814","500","304","179","9916","673","414","272","61.5","63.58","60.80","4.18%","235","99%","245","99%","5.67","Private - PA","66%","514","3.8"," "," ","270","66.30%"," "," "," "," "," "
"Stony Brook","55"," ","2011","415","248","87","3156","342","161","49","5167","757","409","136","54.0","59.76","47.08","7.92%","242","99%","247","99%","10.84","Public - NY","36%","516","3.86"," "," ","136","36.03%","YES"," "," "," "," "
