School,25th_MCAT,med_MCAT,75th_MCAT,med_GPA,IS_apps,OOS_apps,IS_II,OOS_II,IS_mat,OOS_mat,Public_Private,latitude,longitude,State,OOS_friendly
Yale,518,522,524,3.95,220,5707,17,605,6,86,Private,41.30338792,-72.93387241,CT,Yes
EVMS,510,513,516,3.8,1116,6048,359,437,76,75,Public,36.86055358,-76.3035708,VA,Yes
Indiana University,508,512,517,3.9,735,5345,481,490,284,80,Public,39.80055515,-86.17615771,IN,
McGovern Houston,510,513,517,3.92,4295,1338,996,114,228,12,Public,29.71283503,-95.3972637,TX,No
OHSU,505,511,515,3.74,443,5769,242,300,108,42,Public,45.51967558,-122.6903232,OR,No
Rutgers NJ,512,516,519,3.85,1486,3917,512,162,145,28,Public,40.74022669,-74.18970965,NJ,
Rutgers RWJ,511,515,518,3.83,1469,4156,278,145,146,19,Public,40.5251763,-74.4701279,NJ,
Texas A&M,509,513,517,3.89,5368,302,447,107,173,26,Public,30.59842924,-96.39442157,TX,No
TT El Paso,509,514,517,3.93,3721,818,550,54,117,7,Public,31.77435485,-106.4322838,TX,No
TT Lubbock,507,512,516,3.93,4053,901,808,104,163,18,Public,33.59029287,-101.8908924,TX,No
UT Austin,512,515,519,3.92,4153,1115,356,12,45,5,Public,30.2757112,-97.73357093,TX,No
UT Tyler,499,505,510,3.84,3170,572,271,1,39,1,Public,32.31515846,-95.25195449,TX,No
UT San Antonio,516,518,521,3.93,4197,1154,875,226,205,27,Public,29.50760812,-98.57537509,TX,No
UHouston Tilman J. Fertitta,502,505,509,3.75,3960,920,306,27,58,2,Public,29.71160601,-95.3361502,TX,No
UIllinois,509,512,515,3.77,1568,6914,290,390,160,123,Public,41.87153537,-87.67348993,IL,
UMinnesota,506,511,516,3.84,897,5052,524,248,199,42,Public,44.97277017,-93.23351932,MN,
UN Reno,504,509,513,3.76,294,1363,275,75,58,11,Public,39.54910541,-119.8140076,NV,
UNM,500,506,512,3.82,193,1520,121,41,86,6,Public,35.08960959,-106.6168307,NM,No
UT Galveston,510,513,516,3.87,4178,958,867,85,217,13,Public,29.31193186,-94.77752215,TX,No
UT Edinburg,504,507,511,3.79,3711,783,450,76,49,4,Public,26.30761728,-98.17450303,TX,No
VCU,511,513,517,3.88,1174,5514,331,413,99,79,Public,37.53986679,-77.430266,VA,Yes
Wayne State,509,513,516,3.86,15851,5901,696,680,190,104,Public,42.45583418,-83.02267449,MI,Yes
WVU,506,510,513,3.83,188,4498,112,486,76,33,Public,39.65493223,-79.95772436,WV,
Wright State,505,509,513,3.82,1065,5199,275,141,101,25,Public,39.7803021,-84.06140321,OH,
Western Michigan University,511,513,516,3.82,1130,2951,158,289,33,51,Private,42.29023489,-85.57963962,MI,
Tulane,508,512,516,3.77,454,14296,86,481,43,131,Private,29.95504851,-90.07698189,LA,Yes
UMiami,513,515,518,3.85,2173,7846,300,200,93,107,Private,25.79074931,-80.21197135,FL,Yes
Geisinger Commonwealth,509,512,516,3.86,860,4390,381,442,75,40,Private,41.4134444,-75.65533032,PA,
Albany Medical College ,506,510,512,3.8,2052,11195,147,565,41,102,Private,42.65361096,-73.77781715,NY,Yes
TCU,508,511,514,3.82,1252,4743,55,182,15,35,Private,32.73341885,-97.33733126,TX,
ECU,503,507,512,3.73,1089,3,348,0,90,0,Public,35.60993269,-77.40282925,NC,
California Northstate,512,514,517,3.86,2473,1142,440,60,105,11,Private,38.40584201,-121.4812269,CA,
California University,512,515,518,3.8,3451,1276,556,7,126,3,Private,34.07835591,-117.3505089,CA,No
Carle Illinois,511,515,519,3.83,477,2365,0,0,9,55,Private,40.10868899,-88.2252963,IL,Yes
FAU,514,516,519,3.9,2214,2387,239,89,50,26,Public,26.37351729,-80.10046536,FL,Yes
Charles R. Drew,498,501,505,3.41,372,545,279,139,44,17,Private,33.92580242,-118.2425045,CA,
Rosalind Franklin,510,513,516,3.8,1262,8568,289,388,111,88,Private,42.30050121,-87.85880487,IL,Yes
Cooper at Rowan University,510,514,518,3.88,1262,3288,212,136,87,25,Public,39.94074994,-75.11971466,NJ,
FSU,505,509,512,3.86,2660,4017,242,10,118,2,Public,30.44704832,-84.30552477,FL,
FIU,509,511,514,3.9,2538,3694,336,122,99,22,Public,25.7583656,-80.37134502,FL,
East Tennessee State,505,509,513,3.85,571,3377,256,102,63,14,Public,36.30926924,-82.37890443,TN,No
University of South Alabama,505,508,512,3.89,483,1091,187,10,72,6,Public,30.69928137,-88.17723249,AL,No
Howard,503,506,510,3.67,39,7833,6,369,3,118,Private,38.91909508,-77.02004897,DC,
Marshall University,502,506,511,3.83,161,1680,74,89,41,31,Public,38.40936874,-82.42620346,WV,
Loyola University,509,512,515,3.77,1384,10518,113,411,51,116,Private,41.85878709,-87.83612273,IL,Yes
LSU Shreveport,503,507,511,3.85,672,3390,294,18,143,7,Public,32.48075305,-93.7606432,LA,No
LSU New Orleans,505,510,514,3.86,666,3040,450,83,177,17,Public,29.955553,-90.08279893,LA,No
Loma Linda,508,511,515,3.92,2320,2563,177,163,85,78,Private,34.05057629,-117.264209,CA,Yes
UNLV,506,510,513,3.77,267,1285,175,125,48,18,Public,36.16422331,-115.1646903,NV,No
NEOMED,506,510,513,3.8,955,3700,573,319,127,47,Public,41.10499855,-81.24409032,OH,
NYMC,513,516,517,3.8,2102,7998,459,485,125,83,Private,41.08555745,-73.8100727,NY,
Morehouse,502,507,511,3.72,815,6106,159,303,75,35,Private,33.74340312,-84.41211309,GA,
MSU,505,509,514,3.8,1547,5236,467,164,149,37,Public,43.03314426,-85.65177749,MI,
Mercer,501,505,508,3.77,1347,0,425,0,170,0,Private,32.82814575,-83.64764369,GA,
Meharry,501,504,506,3.58,321,6899,33,200,21,92,Private,36.16770638,-86.8063831,TN,
MUSC,508,512,515,3.92,553,2089,320,69,157,15,Public,32.78982298,-79.94614088,SC,
MCW,505,510,514,3.8,680,8730,332,453,137,125,Private,43.04363126,-88.0217838,WI,
MCG,509,513,516,3.84,1331,1989,545,35,263,1,Public,33.47079372,-81.98997928,GA,
Nova Southeastern,511,513,515,3.89,2039,3537,180,165,32,21,Private,26.08154593,-80.25029085,FL,
NYU LI,513,515,518,3.84,1072,2692,176,194,11,12,Private,40.74181653,-73.64080866,NY,Yes
NYU Grossman,521,523,525,3.98,1150,6619,101,677,7,93,Private,40.74238903,-73.97389402,NY,Yes
Penn State,508,511,514,3.84,1042,9918,148,598,45,100,Private,40.28127954,-76.67636079,PA,
Rush,507,511,514,3.7,1289,10610,101,361,33,108,Private,41.87414006,-87.66920312,IL,
SIU,503,507,513,3.86,1034,90,230,0,80,0,Public,39.81076832,-89.65774496,IL,No
SUNY Downstate,509,513,516,3.79,2435,4438,772,315,177,30, Public,40.65517502,-73.9466278,NY,
SUNY Upstate,509,513,517,3.81,2182,2791,450,175,135,37,Public,43.04044103,-76.13914843,NY,
UAB,506,511,516,3.9,556,3889,276,196,158,28,Public,33.50290881,-86.80377454,AL,
USU,508,512,515,3.84,197,2319,59,562,20,156,Public,39.00194432,-77.0864257,MD,
UToledo,507,510,513,3.82,1110,4424,217,162,112,63,Public,41.61951462,-83.61698903,OH,
UA Tucson,507,511,514,3.84,700,6220,242,289,89,29,Public,32.24074459,-110.945601,AZ,
UArkansas,503,507,512,3.85,318,2118,267,85,171,4,Public,34.74884304,-92.32067372,AR,No
UCF,512,515,518,3.91,2391,2555,320,182,75,45,Public,28.36748058,-81.28018127,FL,
UKansas,505,510,514,3.87,442,2742,311,217,157,54,Public,38.91199646,-97.6128428,KS,
UFlorida,512,516,519,3.92,2439,2852,287,73,114,21,Public,29.63994517,-82.3434662,FL,
UKentucky,502,506,512,3.87,569,3522,344,216,155,45,Public,38.03110509,-84.50585822,KY,No
University of Louisville,504,508,513,3.82,477,5070,272,174,119,44,Public,38.25013853,-85.74757843,KY,
UMississippi,503,506,510,3.87,369,2,203,0,165,0,Public,32.33100282,-90.17122382,MS,No
UMissouri Columbia,505,509,514,3.85,546,2148,388,111,107,21,Public,38.97771131,-92.33395806,MO,No
UMissouri Kansas,507,510,515,3.89,345,1547,96,36,87,49,Public,39.08328484,-94.57518015,MO,No
UOklahoma,505,510,515,3.94,328,1888,195,89,160,16,Public,35.479853,-97.49554974,OK,No
UND,503,509,512,3.86,107,1540,60,136,36,38,Public,47.9318734,-97.06804449,ND,No
UNMC,509,512,516,3.94,262,1780,230,186,105,27,Public,41.25430729,-95.97577618,NE,No
UW,506,512,517,3.81,943,6052,414,271,142,127,Public,47.65066559,-122.3093581,WA,No
UWisconsin,507,512,516,3.8,664,5694,291,259,117,52,Public,43.07801319,-89.42967155,WI,
UTennessee,509,512,516,3.91,637,1959,335,69,156,17,Public,36.05344055,-83.94057251,TN,
USD,505,509,512,3.85,126,990,115,78,52,19,Public,42.78246076,-96.928507,SD,
USC Greenville,506,510,515,3.9,514,3859,244,96,77,33,Public,34.82166567,-82.41140937,SC,
USC Columbia,507,510,513,3.91,488,2364,262,158,75,25,Public,33.97866412,-80.96297292,SC,
WSU,505,509,514,3.77,829,781,279,26,71,9,Public,47.66143193,-117.4019306,WA,No
